'2022-04-13';'2022-04-12';'Wikimedia';'-33,00'
'2022-04-17';'2022-04-16';'WEBSITEPOLICIES';'-291,38'
'2022-04-20';'2022-04-19';'DIN BIL';'-7156,00'
'2022-07-31';'2022-07-30';'MIKADO';'-800,00'
'2022-08-10';'2022-08-10';'TELE2';'-641,00'
'2022-08-14';'2022-08-14';'TELE2';'-250,00'
'2022-08-17';'2022-08-17';'SVEA INKASSO';'-15749,00'
'2022-08-17';'2022-08-17';'TELE2';'-295,00'
'2022-08-22';'2022-08-20';'SJOBAREN HAGA';'-1900,00'
'2022-08-23';'2022-08-22';'MIKADO';'-500,00'
'2022-08-28';'2022-08-26';'SJOBAREN';'-750,00'
'2022-09-01';'2022-08-31';'NPM';'-76,11'
'2022-09-15';'2022-09-15';'LOOPIA';'-458,00'
'2022-09-15';'2022-09-15';'TELE2';'-617,00'
'2022-10-01';'2022-09-30';'NPM';'-80,73'
'2022-10-09';'2022-10-09';'TELE2';'-115,00'
'2022-10-21';'2022-10-21';'Autogiro';'Kjell & Co';'-698,00'
'2022-10-26';'2022-10-25';'TAJ MAHAL';'-238,00'
'2022-12-19';'2022-12-19';'NPM';'-73,91'
'2022-12-19';'2022-12-19';'NPM';'-73,91'
'2022-12-24';'2022-12-23';'JULA';'-613,90'
'2023-01-11';'2023-01-11';'ODERLAND.SE';'-2 775,00'
'2023-01-12';'2023-01-12';'GITKRAKEN SOFTWARE';'-1901,59'
'2023-01-19';'2023-01-19';'NPM';'-74,19'
'2023-01-19';'2023-01-19';'NPM';'-74,19'
'2023-02-03';'2023-02-03';'INTRUM';'-1100,00'
'2023-02-15';'2023-02-14';'MJUK BILTVATT';'-399,00'
'2023-02-17';'2023-02-16';'KJELL & CO';'-549,70'
'2023-02-17';'2023-02-16';'KJELL & CO';'-169,90'
'2023-02-19';'2023-02-19';'NPM';'-75,06'
'2023-02-20';'2023-02-20';'NPM';'-75,06'
'2023-02-24';'2023-02-24';'INTRUM';'OCR:78863000650141';'-1899,41'
'2023-03-20';'2023-03-19';'NPM';'-74,99'
'2023-03-20';'2023-03-19';'NPM';'-74,99'
'2023-04-01';'2023-03-31';'BILTEMA';'-238,00'
'2023-04-06';'2023-04-06';'SERGEL';'-1273,59'
'2023-04-16';'2023-04-16';'ELECTROKIT';'-92,00'
'2023-04-16';'2023-04-16';'ELECTROKIT';'-88,00'
'2023-04-20';'2023-04-19';'NPM';'-73,73'
'2023-04-20';'2023-04-19';'NPM';'-73,73'
'2023-04-28';'2023-04-27';'MASALA';'-114,00'
'2023-04-29';'2023-04-28';'MASALA';'-114,00'
'2023-05-11';'2023-05-10';'ODERLAND';'-211,25'
'2023-05-20';'2023-05-19';'NPM';'-75,23'
'2023-05-20';'2023-05-19';'NPM';'-75,23'
'2023-05-23';'2023-05-22';'Mjuk Biltvatt';'-29,00'
'2023-05-23';'2023-05-22';'MJUK BILTVATT';'-299,00'
'2023-06-03';'2023-06-02';'Mjuk Biltvatt';'-79,00'
'2023-06-13';'2023-06-11';'electrokit';'-990,00'
'2023-06-13';'2023-06-11';'CLEARSYSTEM';'-2671,44'
'2023-06-15';'2023-06-14';'BILTEMA';'-1105,70'
'2023-06-15';'2023-06-14';'THEPIHUT';'-850,61'
'2023-06-16';'2023-06-14';'electrokit';'-135,25'
'2023-06-17';'2023-06-16';'BILTEMA';'-445,60'
'2023-06-17';'2023-06-16';'Mjuk Biltvatt';'-29,00'
'2023-06-19';'2023-06-18';'NO-IP';'-216,32'
'2023-06-20';'2023-06-19';'NPM';'-75,75'
'2023-06-20';'2023-06-19';'NPM';'-75,75'
'2023-06-20';'2023-06-19';'KJELL & CO';'-98,90'
'2023-06-21';'2023-06-17';'electrokit';'-760,25'
'2023-06-22';'2023-06-21';'KJELL & CO';'-499,00'
'2023-06-22';'2023-06-21';'RASPBERRYPI.DK';'-1657,34'
'2023-06-24';'2023-06-23';'clasohlson';'-879,00'
'2023-06-27';'2023-06-26';'electrokit';'-83,25'
'2023-06-27';'2023-06-26';'electrokit';'-221,25'
'2023-06-28';'2023-06-27';'CLAS OHLSON';'-129,90'
'2023-06-30';'2023-06-29';'KJELL & CO';'-148,00'
'2023-06-30';'2023-06-29';'KJELL & CO';'-1 790,00'
'2023-06-30';'2023-06-29';'KJELL & CO';'-458,80'
'2023-06-30';'2023-06-28';'electrokit';'-105,25'
